"ImageSize","DataSize","Nodes","NodeCores","NodeRAM","Executors","ExecutorRam","ExecutorCores","Time"
"16x16",0.22,3,8,8,4,6,6,1.1
"16x16",0.22,3,8,8,6,4,4,1.1
"16x16",0.22,3,8,8,8,3,3,1.2
"16x16",0.22,3,8,8,12,2,2,1.2
"16x16",0.22,3,8,8,16,1,1,1.3
"16x16",0.22,3,8,8,24,1,1,1.3
"16x16",0.22,3,8,8,24,2,1,1.2
"16x16",0.22,3,8,12,4,9,6,1.3
"16x16",0.22,3,8,12,6,6,4,1.2
"16x16",0.22,3,8,12,8,4,3,1.2
"16x16",0.22,3,8,12,12,3,2,1.3
"16x16",0.22,3,8,12,16,2,1,1.4
"16x16",0.22,3,8,12,24,1,1,1.3
"32x32",0.86,3,8,8,4,6,6,2.4
"32x32",0.86,3,8,8,6,4,4,2.1
"32x32",0.86,3,8,8,8,3,3,2.2
"32x32",0.86,3,8,8,12,2,2,2.2
"32x32",0.86,3,8,8,16,1,1,3.3
"32x32",0.86,3,8,8,24,1,1,3.3
"32x32",0.86,3,8,8,24,2,1,2.4
"32x32",0.86,3,8,8,24,4,1,3.2
"32x32",0.86,3,8,12,4,9,6,2.4
"32x32",0.86,3,8,12,6,6,4,2.3
"32x32",0.86,3,8,12,8,4,3,2.6
"32x32",0.86,3,8,12,12,3,2,2.4
"32x32",0.86,3,8,12,16,2,1,2.6
"32x32",0.86,3,8,12,24,1,1,3.4
"32x32",0.86,3,8,12,24,2,1,2.5
"32x32",0.86,3,8,12,24,4,1,3.3
"64x64",3.5,3,8,8,4,6,6,2.5
"64x64",3.5,3,8,8,6,4,4,3.2
"64x64",3.5,3,8,8,8,3,3,2.5
"64x64",3.5,3,8,8,12,2,2,2.6
"64x64",3.5,3,8,8,16,1,1,3.7
"64x64",3.5,3,8,8,24,1,1,3.5
"64x64",3.5,3,8,8,24,2,1,4
"64x64",3.5,3,8,8,24,4,1,7.6
"64x64",3.5,3,8,12,4,9,6,2.5
"64x64",3.5,3,8,12,6,6,4,2.6
"64x64",3.5,3,8,12,8,4,3,2.6
"64x64",3.5,3,8,12,12,3,2,2.6
"64x64",3.5,3,8,12,16,2,1,2.8
"64x64",3.5,3,8,12,24,1,1,4.1
"64x64",3.5,3,8,12,24,2,1,4.1
"64x64",3.5,3,8,12,24,4,1,5.7
"128x128",13.6,3,8,8,4,6,6,27
"128x128",13.6,3,8,8,6,4,4,38
"128x128",13.6,3,8,8,8,3,3,36
"128x128",13.6,3,8,8,12,2,2,37
"128x128",13.6,3,8,8,16,1,1,40
"128x128",13.6,3,8,8,24,1,1,39
"128x128",13.6,3,8,8,24,2,1,52
"128x128",13.6,3,8,8,24,4,1,116
"128x128",13.6,3,8,12,4,9,6,7.5
"128x128",13.6,3,8,12,6,6,4,39
"128x128",13.6,3,8,12,8,4,3,8.9
"128x128",13.6,3,8,12,12,3,2,38
"128x128",13.6,3,8,12,16,2,1,13
"128x128",13.6,3,8,12,24,1,1,30
"128x128",13.6,3,8,12,24,2,1,11
"128x128",13.6,3,8,12,24,4,1,17
"128x128",13.6,3,8,16,4,14,6,6.9
"128x128",13.6,3,8,16,6,14,4,9.7
"128x128",13.6,3,8,16,8,6,3,7.1
"128x128",13.6,3,8,16,12,4,2,7.5
"128x128",13.6,3,8,16,16,3,1,10
"128x128",13.6,3,8,16,48,1,1,28
"128x128",13.6,3,8,16,24,2,1,8
"128x128",13.6,3,16,8,3,7,16,23
"128x128",13.6,3,16,8,3,6,16,23
"128x128",13.6,3,16,8,4,4,12,26
"128x128",13.6,3,16,8,5,3,9,37
"128x128",13.6,3,16,8,8,2,6,25
"128x128",13.6,3,16,8,15,1,3,30
"128x128",13.6,3,16,12,3,10,16,6.2
"128x128",13.6,3,16,12,6,3,8,22
"128x128",13.6,3,16,12,32,1,1,39
"128x128",13.6,3,16,12,22,1,2,10
"128x128",13.6,3,16,16,3,14,15,4.3
"128x128",13.6,3,16,16,3,12,15,
"128x128",13.6,3,16,16,4,10,11,6.2
"128x128",13.6,3,16,16,5,8,9,7
"128x128",13.6,3,16,16,11,4,4,6.5
"128x128",13.6,3,16,16,22,2,2,6.7
"128x128",13.6,3,16,16,44,1,1,"Fail"
"128x128",13.6,5,8,8,5,6,7,5.5
"128x128",13.6,5,8,8,6,5,6,6.2
"128x128",13.6,5,8,8,8,4,4,25
"128x128",13.6,5,8,8,11,3,3,6.9
"128x128",13.6,5,8,8,16,2,2,9
"128x128",13.6,5,8,8,33,1,1,27
"128x128",13.6,5,8,12,5,10,7,5.2
"128x128",13.6,5,8,12,6,8,6,5.5
"128x128",13.6,5,8,12,8,6,4,
"128x128",13.6,5,8,12,12,4,3,6.2
"128x128",13.6,5,8,12,16,3,2,5.8
"128x128",13.6,5,8,12,25,2,1,
"128x128",13.6,5,8,16,5,14,7,5.7
"128x128",13.6,5,8,16,6,12,7,7.1
"128x128",13.6,5,8,16,7,10,6,6.4
"128x128",13.6,5,8,16,11,7,3,8
"128x128",13.6,5,8,16,16,4,2,6.5
"128x128",13.6,5,8,16,21,2,1,6.6
"128x128",13.6,5,16,8,6,5,15,4.5
"128x128",13.6,5,16,8,11,3,7,5.2
"128x128",13.6,5,16,8,16,2,4,6.2
"128x128",13.6,5,16,8,26,1,2,26
"128x128",13.6,5,16,8,31,1,1,27
"128x128",13.6,5,16,12,6,8,15,4.2
"128x128",13.6,5,16,12,11,6,8,4.3
"128x128",13.6,5,16,12,16,3,5,5
"128x128",13.6,5,16,12,21,3,4,4.8
"128x128",13.6,5,16,12,41,1,2,5.1
"128x128",13.6,5,16,12,51,1,1,8.4
"128x128",13.6,5,16,16,6,12,15,3.6
"128x128",13.6,5,16,16,11,6,7,3.9
"128x128",13.6,5,16,16,16,4,4,4
"128x128",13.6,5,16,16,21,3,3,4.2
"128x128",13.6,5,16,16,36,2,1,4.7
"128x128",13.6,5,16,16,71,1,0,6.1
"128x128",13.6,7,8,8,8,5,7,7.1
"128x128",13.6,7,8,8,15,3,3,8.2
"128x128",13.6,7,8,8,22,2,1,8.4
"128x128",13.6,7,8,8,29,1,1,14
"128x128",13.6,7,8,12,8,9,7,6.2
"128x128",13.6,7,8,12,8,9,7,6.6
"128x128",13.6,7,8,12,15,4,3,7.1
"128x128",13.6,7,8,12,22,3,1,6.4
"128x128",13.6,7,8,12,29,2,1,6.9
"128x128",13.6,7,8,16,8,12,7,5.5
"128x128",13.6,7,8,16,15,6,3,5.6
"128x128",13.6,7,8,16,22,4,1,5.9
"128x128",13.6,7,8,16,29,3,1,6.1
"128x128",13.6,7,16,8,8,5,15,4.5
"128x128",13.6,7,16,8,15,3,7,4.2
"128x128",13.6,7,16,8,22,2,4,4.3
"128x128",13.6,7,16,8,29,1,3,23
"128x128",13.6,7,16,8,36,1,2,18
"128x128",13.6,7,16,8,43,1,1,24
"128x128",13.6,7,16,12,8,9,15,6.8
"128x128",13.6,7,16,12,15,4,7,3.7
"128x128",13.6,7,16,12,22,3,4,3.8
"128x128",13.6,7,16,12,29,2,3,4
"128x128",13.6,7,16,12,36,2,2,4.1
"128x128",13.6,7,16,12,57,1,1,6.9
"128x128",13.6,7,16,16,8,12,15,3.4
"128x128",13.6,7,16,16,15,6,7,3.6
"128x128",13.6,7,16,16,22,4,4,3.8
"128x128",13.6,7,16,16,29,3,3,3.9
"128x128",13.6,7,16,16,50,2,2,4.4
"128x128",13.6,7,16,16,99,1,0,7.1
"256x256",55,3,8,8,4,6,6,150
"256x256",55,3,8,8,6,4,4,204
"256x256",55,3,8,8,8,3,3,
"256x256",55,3,8,8,12,2,2,
